Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2011,Carlos Gonzalez,COL,127,542,19.40%,34.50%,58.90%,67.60%,88.60%,41.00%,55.40%,11.40%,25.00%,1987,0.481,0.76,180,125,67,
2019,Carlos Santana,CLE,158,686,15.70%,21.20%,66.20%,66.20%,87.60%,40.40%,54.40%,7.60%,24.50%,2793,0.393,0.807,211,176,80,
2019,Austin Meadows,TBR,138,591,22.20%,27.40%,63.20%,62.20%,87.90%,42.50%,60.90%,9.00%,28.80%,2497,0.422,0.786,136,171,92,
2019,Kris Bryant,CHC,147,634,22.90%,30.50%,60.30%,76.00%,82.60%,39.40%,58.40%,12.60%,25.70%,2486,0.484,0.741,143,172,83,
2014,Yasiel Puig,LAD,148,640,19.40%,29.60%,59.00%,74.80%,84.30%,39.10%,59.50%,11.90%,24.30%,2306,0.473,0.747,223,144,64,
2010,Adrian Gonzalez,SDP,160,693,16.50%,30.40%,64.30%,70.60%,87.00%,42.40%,56.30%,9.70%,23.70%,2668,0.475,0.787,189,189,101,
2019,Yoan Moncada,CHW,132,559,27.50%,32.70%,51.20%,66.90%,83.30%,42.70%,64.60%,13.90%,30.80%,2219,0.473,0.706,152,124,83,
2016,Mookie Betts,BOS,158,730,11.00%,25.50%,71.50%,58.40%,94.80%,47.60%,60.80%,5.20%,27.50%,2709,0.412,0.873,247,235,115,
2010,Nick Swisher,NYY,150,635,21.90%,25.50%,61.50%,68.50%,88.10%,43.40%,55.60%,9.00%,25.10%,2554,0.441,0.794,152,192,84,
2015,David Ortiz,BOS,146,614,15.50%,28.30%,65.60%,71.90%,85.40%,39.60%,52.10%,9.80%,23.50%,2488,0.456,0.78,162,181,99,
2013,Adrian Beltre,TEX,161,690,11.30%,35.60%,77.80%,66.00%,90.80%,43.80%,60.60%,7.00%,23.20%,2534,0.489,0.855,212,222,121,
2019,Josh Bell,PIT,143,613,19.20%,30.20%,66.00%,77.80%,83.20%,37.70%,54.80%,11.30%,22.70%,2442,0.481,0.765,183,155,78,
2010,Kelly Johnson,ARI,154,671,22.10%,28.40%,58.40%,68.20%,86.90%,43.30%,56.30%,10.50%,26.40%,2765,0.456,0.768,182,167,90,
2012,Matt Holliday,STL,157,688,19.20%,31.20%,68.40%,73.10%,85.90%,38.30%,56.40%,10.00%,23.20%,2677,0.472,0.788,218,165,89,
2019,Jorge Soler,KCR,162,679,26.20%,27.10%,47.10%,70.70%,83.70%,38.80%,61.30%,13.20%,29.50%,2750,0.44,0.699,163,171,81,
2010,Ryan Braun,MIL,157,685,15.30%,30.80%,67.40%,64.70%,90.10%,43.60%,57.20%,8.40%,25.60%,2533,0.456,0.815,248,179,86,
2017,Justin Upton,- - -,152,635,28.30%,26.90%,58.50%,66.10%,78.50%,44.60%,58.70%,12.50%,29.40%,2695,0.444,0.717,139,165,74,
2018,Freddie Freeman,ATL,162,707,18.70%,34.50%,66.80%,85.00%,84.00%,41.70%,60.30%,12.40%,20.20%,2663,0.556,0.778,179,154,159,
2016,Ryan Braun,MIL,135,564,17.40%,36.20%,68.00%,74.40%,89.50%,40.80%,59.40%,9.90%,22.30%,2106,0.518,0.806,231,104,80,
2012,Chase Headley,SDP,161,699,22.50%,26.80%,55.80%,70.80%,85.50%,40.00%,57.80%,11.20%,25.80%,2835,0.444,0.748,219,145,88,
2011,Hunter Pence,- - -,154,668,18.60%,33.60%,64.60%,68.80%,88.40%,41.10%,62.90%,10.20%,24.40%,2579,0.48,0.786,250,150,87,
2019,Josh Donaldson,ATL,155,659,23.50%,25.70%,62.40%,71.80%,76.60%,39.30%,58.40%,12.50%,26.70%,2742,0.438,0.715,167,144,85,
2017,Jose Abreu,CHW,156,675,17.60%,33.00%,63.50%,67.70%,88.80%,43.80%,57.30%,10.10%,26.60%,2560,0.482,0.791,229,184,92,
2010,Jason Heyward,ATL,142,623,20.50%,23.50%,64.00%,58.80%,87.10%,43.10%,53.50%,8.00%,26.90%,2588,0.387,0.791,217,107,70,
2010,Joe Mauer,MIN,137,584,9.10%,24.50%,80.70%,55.80%,96.00%,47.10%,55.00%,3.40%,25.40%,2262,0.392,0.91,216,134,112,
2019,Rafael Devers,BOS,156,702,17.00%,40.50%,71.90%,76.20%,82.60%,40.40%,61.10%,12.10%,23.40%,2636,0.549,0.779,234,181,112,
2012,Billy Butler,KCR,161,679,16.30%,29.50%,71.20%,59.80%,89.40%,45.20%,55.80%,7.40%,27.10%,2591,0.432,0.826,240,146,121,
2014,Jayson Werth,WSN,147,629,18.00%,23.70%,68.50%,53.90%,91.00%,43.40%,60.30%,6.30%,29.20%,2667,0.368,0.828,169,170,85,
2018,Manny Machado,- - -,162,709,14.70%,32.20%,65.80%,73.50%,89.00%,40.10%,56.30%,9.80%,23.20%,2529,0.488,0.798,213,225,95,
2018,Eugenio Suarez,CIN,143,606,23.40%,25.90%,56.60%,70.00%,87.40%,42.40%,59.60%,10.20%,26.60%,2429,0.446,0.771,150,145,96,
2011,Jose Reyes,NYM,126,586,7.00%,31.50%,83.20%,58.20%,95.40%,41.60%,55.60%,4.10%,24.10%,2114,0.426,0.901,207,181,104,
2017,Eric Hosmer,KCR,162,671,15.50%,30.00%,64.20%,69.20%,89.10%,43.50%,58.10%,9.30%,23.90%,2573,0.47,0.802,278,111,111,
2011,Corey Hart,MIL,130,551,20.70%,26.40%,50.60%,70.40%,82.10%,44.60%,65.50%,12.80%,28.40%,2119,0.46,0.721,169,132,78,
2017,George Springer,HOU,140,629,17.60%,23.70%,61.70%,70.50%,85.80%,44.70%,56.40%,9.50%,24.40%,2550,0.446,0.787,213,149,79,
2012,David Wright,NYM,156,670,16.70%,24.60%,71.60%,66.10%,88.10%,43.50%,56.00%,7.20%,23.70%,2567,0.426,0.827,201,168,105,
2018,Bryce Harper,WSN,159,695,24.30%,26.10%,55.40%,75.40%,79.60%,39.10%,57.40%,13.10%,25.00%,2877,0.454,0.711,154,147,86,
2012,Joe Mauer,MIN,147,641,13.70%,22.30%,81.90%,52.50%,91.20%,42.90%,53.20%,4.20%,28.00%,2767,0.353,0.878,242,103,115,
2010,Evan Longoria,TBR,151,661,18.80%,25.30%,60.80%,64.10%,88.00%,46.50%,52.60%,8.70%,25.40%,2564,0.434,0.795,168,198,93,
2012,Aaron Hill,ARI,156,668,12.90%,29.50%,73.30%,61.40%,92.90%,45.70%,60.00%,6.20%,24.80%,2483,0.441,0.858,179,233,110,
2012,Yadier Molina,STL,138,563,9.80%,30.60%,78.20%,74.40%,88.60%,47.30%,61.80%,7.50%,19.10%,1929,0.513,0.853,182,160,113,
2018,Matt Carpenter,STL,156,677,23.30%,21.00%,56.50%,57.70%,87.10%,43.70%,52.90%,8.40%,29.60%,2853,0.37,0.773,106,188,107,
2017,Avisail Garcia,CHW,136,561,19.80%,39.80%,52.90%,83.40%,84.20%,43.90%,62.60%,16.30%,24.40%,1995,0.589,0.724,213,112,83,
2012,Dexter Fowler,COL,143,530,24.20%,22.90%,64.30%,68.80%,84.50%,42.00%,54.00%,9.20%,24.90%,2116,0.422,0.781,124,106,86,
2016,Matt Carpenter,STL,129,566,19.10%,22.60%,63.10%,58.80%,92.00%,44.30%,55.80%,6.70%,27.50%,2390,0.386,0.826,112,158,96,
2011,Dustin Pedroia,BOS,159,731,11.60%,27.40%,80.40%,60.80%,91.00%,46.10%,58.10%,5.40%,24.60%,3077,0.428,0.873,265,185,106,
2011,Aramis Ramirez,CHC,149,626,11.00%,36.30%,68.70%,78.70%,92.50%,43.40%,60.50%,8.90%,19.60%,2080,0.547,0.836,171,216,117,
2019,DJ LeMahieu,NYY,145,655,13.70%,30.20%,75.00%,65.80%,91.80%,43.00%,58.30%,6.60%,25.60%,2463,0.456,0.855,258,135,122,
2011,Robinson Cano,NYY,159,681,14.10%,40.50%,76.10%,75.40%,94.60%,40.60%,60.60%,7.30%,18.80%,2340,0.546,0.864,249,165,119,
2014,Freddie Freeman,ATL,162,708,20.50%,30.60%,63.50%,79.60%,83.20%,38.90%,59.20%,12.00%,22.00%,2826,0.497,0.758,170,151,144,
2019,Jose Altuve,HOU,124,548,15.00%,32.70%,72.40%,68.10%,86.90%,39.90%,65.30%,9.00%,25.00%,1994,0.468,0.808,204,133,72,
2018,Jesus Aguilar,MIL,149,566,25.30%,35.60%,61.40%,60.10%,82.40%,40.40%,58.10%,12.50%,30.70%,2432,0.455,0.726,127,147,85,
2012,Allen Craig,STL,119,514,17.30%,28.00%,73.80%,61.10%,89.40%,45.60%,56.60%,6.90%,26.40%,2004,0.431,0.839,170,129,88,
2016,Brandon Belt,SFG,156,655,22.60%,25.50%,56.30%,78.90%,85.40%,41.20%,56.30%,11.20%,22.70%,2721,0.475,0.762,104,182,110,
2012,Carlos Gonzalez,COL,135,579,19.90%,33.20%,55.10%,67.80%,87.00%,38.40%,55.80%,12.30%,26.20%,2198,0.465,0.73,194,117,86,
2010,Billy Butler,KCR,158,678,11.50%,26.30%,71.90%,61.70%,91.30%,44.60%,52.20%,6.40%,25.00%,2559,0.421,0.846,251,179,96,
2016,Edwin Encarnacion,TOR,160,702,19.70%,23.80%,62.60%,67.20%,85.00%,43.30%,57.70%,9.40%,25.80%,2900,0.426,0.779,180,195,96,
2017,Edwin Encarnacion,CLE,157,669,19.90%,23.50%,60.70%,68.40%,83.30%,43.30%,52.60%,10.20%,25.90%,2870,0.429,0.763,158,178,90,
2018,Xander Bogaerts,BOS,136,580,17.60%,30.10%,65.80%,61.30%,89.30%,42.10%,56.70%,8.70%,29.20%,2363,0.432,0.798,180,148,88,
2019,Trey Mancini,BAL,154,679,21.10%,33.40%,64.10%,69.70%,83.40%,40.60%,63.00%,11.80%,27.50%,2722,0.481,0.754,213,148,103,
2014,Justin Morneau,COL,135,550,10.90%,38.80%,76.20%,79.30%,91.30%,39.80%,61.50%,8.20%,19.50%,1920,0.549,0.849,198,148,104,
2010,Corey Hart,MIL,145,614,22.80%,29.00%,51.80%,70.00%,81.90%,46.90%,58.00%,13.20%,28.00%,2348,0.482,0.723,161,185,75,
2019,Marcus Semien,OAK,162,747,13.70%,23.00%,68.30%,68.70%,89.60%,41.80%,63.20%,7.20%,25.10%,2965,0.421,0.829,228,216,111,
2019,Max Muncy,LAD,141,589,25.30%,23.10%,59.00%,64.00%,81.20%,41.10%,55.00%,10.50%,28.70%,2581,0.399,0.736,129,132,80,
2015,Matt Carpenter,STL,154,665,22.70%,22.50%,65.90%,60.00%,87.00%,43.80%,61.10%,7.70%,30.50%,2807,0.389,0.802,126,177,121,
2015,J.D. Martinez,DET,158,657,27.10%,35.50%,57.10%,75.70%,80.60%,43.80%,64.10%,14.90%,26.90%,2605,0.531,0.718,144,183,94,
2016,Corey Seager,LAD,157,687,19.40%,32.20%,59.40%,79.00%,88.40%,44.30%,60.80%,11.30%,21.90%,2512,0.529,0.786,229,145,121,
2017,Domingo Santana,MIL,151,607,29.30%,26.50%,51.90%,71.30%,78.90%,44.20%,62.10%,13.80%,29.40%,2491,0.463,0.703,157,97,96,
2013,Jose Bautista,TOR,118,528,15.90%,22.40%,74.70%,59.10%,89.20%,43.70%,58.90%,5.90%,26.90%,2236,0.384,0.845,153,159,60,
2012,Austin Jackson,DET,137,617,21.70%,23.50%,63.50%,61.50%,87.50%,48.50%,59.20%,8.10%,27.70%,2558,0.419,0.806,174,140,98,
2016,Adrian Beltre,TEX,153,640,10.30%,36.40%,79.70%,66.00%,89.70%,43.00%,60.30%,7.10%,23.40%,2443,0.492,0.855,209,219,92,
2016,Jean Segura,ARI,153,694,14.60%,31.10%,71.20%,64.00%,92.30%,46.90%,59.70%,7.00%,25.60%,2699,0.465,0.848,283,148,102,
2015,Nolan Arenado,COL,157,665,16.50%,38.50%,64.20%,74.20%,90.90%,43.80%,60.20%,10.50%,23.20%,2322,0.542,0.803,178,227,112,
2017,Justin Smoak,TOR,158,637,20.10%,25.80%,62.90%,66.90%,87.90%,41.90%,56.50%,9.00%,25.40%,2591,0.43,0.792,149,193,92,
2019,Bryan Reynolds,PIT,134,546,22.20%,31.10%,59.00%,74.20%,87.10%,38.90%,60.60%,11.50%,24.90%,2168,0.479,0.759,173,111,89,
2015,A.J. Pollock,ARI,157,673,13.20%,30.20%,67.00%,64.00%,94.60%,46.70%,63.70%,6.90%,25.40%,2361,0.46,0.85,264,152,109,
2014,Buster Posey,SFG,147,605,11.40%,29.40%,78.30%,64.10%,91.00%,44.30%,60.00%,6.10%,23.90%,2326,0.448,0.864,203,164,118,
2015,Kris Bryant,CHC,151,650,30.60%,29.80%,49.20%,76.20%,75.80%,41.30%,60.80%,16.50%,28.40%,2651,0.49,0.663,125,165,75,
2012,Paul Konerko,CHW,144,598,13.90%,27.90%,68.70%,62.00%,88.70%,47.00%,61.20%,7.90%,26.10%,2237,0.439,0.82,186,165,101,
2015,Manny Machado,BAL,162,713,15.60%,25.30%,70.20%,65.60%,91.10%,44.30%,58.10%,6.80%,23.80%,2789,0.431,0.843,226,199,92,
2016,Robinson Cano,SEA,161,715,14.00%,37.30%,71.20%,71.40%,93.20%,41.50%,59.70%,8.20%,21.70%,2545,0.514,0.838,257,202,101,
2019,Justin Turner,LAD,135,549,16.00%,28.10%,76.10%,67.60%,89.00%,43.90%,58.70%,7.00%,24.40%,2151,0.454,0.845,133,159,102,
2016,Brian Dozier,MIN,155,691,20.00%,29.10%,68.80%,63.90%,85.40%,42.20%,59.30%,9.10%,28.40%,2788,0.438,0.79,174,228,76,
2016,Carlos Santana,CLE,158,688,14.40%,19.80%,66.50%,64.00%,87.80%,43.70%,52.60%,7.20%,24.70%,2781,0.391,0.817,209,201,78,
2014,Nelson Cruz,BAL,159,678,20.60%,32.70%,58.20%,71.40%,83.70%,44.10%,62.10%,12.60%,26.80%,2530,0.498,0.744,200,196,82,
2018,Joey Votto,CIN,145,623,16.20%,16.40%,78.40%,68.60%,86.70%,44.60%,55.90%,6.00%,22.80%,2504,0.397,0.848,152,126,127,
2010,Chase Utley,PHI,115,511,12.30%,24.90%,76.20%,57.80%,91.10%,42.20%,52.80%,5.50%,25.40%,2040,0.388,0.856,151,143,73,
2014,Matt Kemp,LAD,150,599,24.20%,31.50%,53.00%,69.00%,81.10%,41.60%,56.40%,14.00%,29.70%,2298,0.471,0.701,173,125,104,
2011,Michael Young,TEX,159,689,11.30%,26.50%,75.10%,69.70%,89.70%,48.80%,60.40%,6.90%,21.70%,2492,0.476,0.856,266,149,147,
2013,Brandon Moss,OAK,145,505,27.70%,35.60%,53.30%,71.70%,83.60%,39.40%,60.40%,14.60%,27.60%,2017,0.498,0.705,93,160,56,
2010,Mark Teixeira,NYY,158,712,17.10%,26.00%,68.60%,65.20%,92.30%,41.60%,55.50%,6.80%,23.70%,2817,0.423,0.838,172,220,92,
2010,Scott Rolen,CIN,133,537,15.30%,25.30%,68.80%,65.80%,88.20%,45.60%,57.50%,7.80%,25.00%,2135,0.438,0.821,147,173,77,
2010,Hanley Ramirez,FLA,142,619,15.00%,28.90%,70.00%,68.20%,90.70%,43.50%,58.50%,7.60%,22.50%,2291,0.46,0.833,231,148,74,
2011,Josh Hamilton,TEX,121,538,17.30%,40.30%,62.20%,81.70%,83.80%,39.20%,64.50%,14.00%,23.00%,1925,0.565,0.744,167,152,85,
2018,Matt Chapman,OAK,145,616,23.70%,24.50%,63.80%,64.00%,86.40%,42.80%,58.00%,8.80%,27.90%,2544,0.414,0.787,162,158,82,
2016,Yoenis Cespedes,NYM,132,543,19.90%,34.50%,66.10%,65.80%,87.20%,41.60%,59.30%,10.20%,26.20%,2193,0.476,0.783,140,156,81,
2014,David Ortiz,BOS,142,602,15.80%,29.70%,69.00%,71.20%,90.10%,38.90%,55.80%,8.10%,22.50%,2409,0.459,0.817,157,196,76,
2019,Ronald Acuna Jr.,ATL,156,715,26.30%,26.70%,63.20%,71.50%,80.00%,41.60%,61.40%,11.70%,26.70%,3048,0.453,0.742,167,165,107,
2017,Eric Thames,MIL,138,551,29.60%,27.60%,54.20%,66.80%,80.90%,39.80%,55.20%,12.70%,29.30%,2342,0.432,0.707,117,126,62,
2011,Victor Martinez,DET,145,595,8.60%,29.50%,84.60%,60.00%,97.00%,42.30%,54.60%,3.30%,22.20%,2279,0.424,0.921,212,164,120,
2010,Colby Rasmus,STL,144,534,27.70%,27.70%,56.00%,71.10%,86.30%,41.80%,58.40%,10.90%,26.30%,2161,0.458,0.757,102,155,62,
2012,David Murphy,TEX,147,521,14.20%,28.20%,74.90%,65.40%,88.50%,41.40%,56.80%,7.20%,26.40%,2048,0.436,0.833,168,137,82,
2010,Carl Crawford,TBR,154,663,15.70%,34.80%,73.80%,71.10%,88.40%,43.00%,59.10%,8.70%,22.90%,2483,0.504,0.827,236,179,82,
2018,Francisco Lindor,CLE,158,745,14.40%,32.70%,74.50%,67.90%,90.90%,40.40%,55.80%,7.50%,23.40%,2920,0.469,0.841,216,220,120,
2014,Jonathan Lucroy,MIL,153,655,10.80%,27.20%,80.20%,58.50%,92.10%,46.70%,56.60%,5.00%,25.80%,2551,0.418,0.879,217,184,115,
2018,David Peralta,ARI,146,614,20.20%,31.80%,67.50%,69.50%,84.70%,43.00%,61.70%,10.50%,27.80%,2272,0.48,0.782,222,128,88,
2013,Adam Lind,TOR,143,521,19.80%,28.40%,67.80%,59.80%,87.80%,40.40%,58.30%,8.30%,29.50%,2131,0.411,0.796,168,120,78,
2010,Ryan Howard,PHI,143,620,25.30%,32.30%,48.00%,68.40%,82.00%,41.00%,55.60%,14.70%,28.00%,2421,0.471,0.682,157,147,92,
2013,Giancarlo Stanton,MIA,116,504,27.80%,29.80%,49.10%,61.00%,82.90%,37.60%,53.00%,13.30%,29.60%,2087,0.415,0.678,124,110,52,
2019,Matt Olson,OAK,127,547,25.20%,28.60%,68.60%,67.60%,78.70%,42.50%,55.80%,11.30%,27.60%,2288,0.451,0.75,107,152,82,
2011,Shane Victorino,PHI,132,586,10.80%,28.70%,79.90%,57.50%,92.90%,41.30%,53.60%,5.10%,25.80%,2252,0.406,0.875,193,191,72,
2010,Andre Ethier,LAD,139,585,17.40%,28.90%,63.60%,71.70%,90.80%,45.00%,58.60%,8.60%,23.50%,2198,0.482,0.818,163,167,91,
2015,Michael Brantley,CLE,137,596,8.60%,24.60%,84.40%,64.30%,96.30%,45.70%,58.20%,3.10%,21.90%,2149,0.427,0.926,220,152,108,
2018,Charlie Blackmon,COL,156,696,19.30%,31.80%,69.90%,66.60%,89.30%,44.80%,60.20%,8.50%,25.30%,2724,0.474,0.821,213,164,114,
2010,Rickie Weeks Jr.,MIL,160,754,24.40%,23.10%,50.60%,63.40%,85.20%,46.50%,57.80%,10.50%,29.50%,2956,0.418,0.75,229,168,72,
2012,Yoenis Cespedes,OAK,129,540,18.90%,35.60%,59.50%,65.30%,84.00%,41.20%,58.30%,12.60%,27.60%,1979,0.478,0.733,157,155,76,
2017,Gary Sanchez,NYY,122,525,22.90%,33.70%,60.10%,66.50%,82.90%,43.20%,55.60%,12.60%,28.70%,2031,0.479,0.738,150,130,75,
2014,Carlos Gomez,MIL,148,644,21.90%,38.50%,60.60%,82.30%,84.40%,40.60%,66.00%,14.20%,22.70%,2301,0.563,0.747,158,172,91,
2016,Christian Yelich,MIA,155,659,20.90%,22.90%,54.00%,64.30%,88.40%,42.70%,55.10%,9.20%,27.70%,2715,0.405,0.773,251,89,104,
2016,Hanley Ramirez,BOS,147,620,19.40%,30.40%,62.00%,68.10%,86.90%,43.50%,61.10%,10.30%,26.40%,2416,0.468,0.778,209,142,81,
2015,Yoenis Cespedes,- - -,159,676,20.90%,37.50%,67.80%,65.10%,86.50%,42.50%,58.40%,10.60%,27.90%,2722,0.492,0.783,207,188,101,
2013,Mike Napoli,BOS,139,578,32.40%,25.30%,60.00%,61.90%,72.40%,44.50%,56.10%,13.20%,32.20%,2652,0.416,0.682,115,121,76,
2016,Dexter Fowler,CHC,125,551,22.50%,19.40%,62.20%,64.70%,86.20%,43.40%,58.10%,8.00%,26.00%,2429,0.39,0.794,135,118,79,
2011,Evan Longoria,TBR,133,574,16.20%,25.90%,65.00%,63.80%,87.80%,42.00%,52.40%,8.40%,25.00%,2228,0.418,0.796,147,176,71,
2019,Michael Brantley,HOU,148,637,10.40%,29.20%,82.30%,61.50%,95.80%,44.90%,60.00%,4.00%,24.00%,2316,0.437,0.908,231,157,122,
2018,Mitch Haniger,SEA,157,683,21.70%,25.90%,61.10%,62.50%,87.10%,43.40%,58.30%,9.20%,28.20%,2716,0.418,0.78,193,165,97,
2018,Javier Baez,CHC,160,645,25.90%,45.50%,54.90%,78.00%,81.60%,37.70%,66.50%,18.20%,28.70%,2245,0.577,0.685,198,140,96,
2016,Manny Machado,BAL,157,696,17.20%,32.30%,66.50%,72.30%,87.30%,43.60%,59.90%,10.00%,23.90%,2566,0.497,0.797,196,224,105,
2010,David Wright,NYM,157,670,24.00%,29.10%,61.90%,68.70%,84.40%,44.40%,61.20%,10.70%,25.80%,2658,0.467,0.766,168,187,83,
2011,Kevin Youkilis,BOS,120,517,19.30%,22.90%,64.00%,55.10%,90.00%,45.60%,54.50%,6.90%,28.40%,2161,0.375,0.814,140,128,67,
2015,Ryan Braun,MIL,140,568,20.20%,36.40%,67.00%,71.00%,88.00%,40.80%,64.30%,10.50%,24.80%,2141,0.506,0.791,195,122,76,
2017,Yonder Alonso,- - -,142,521,22.60%,27.80%,59.60%,74.40%,84.10%,41.20%,52.60%,11.50%,23.90%,2077,0.47,0.756,113,144,76,
2017,Buster Posey,SFG,140,568,11.60%,25.60%,75.90%,67.40%,89.70%,44.60%,52.60%,6.50%,22.90%,2073,0.442,0.853,189,143,101,
2013,Daniel Nava,BOS,134,536,17.40%,25.10%,74.30%,58.10%,90.30%,43.60%,58.00%,6.10%,28.40%,2204,0.395,0.846,127,147,97,
2019,Bryce Harper,PHI,157,682,26.10%,31.60%,52.20%,77.30%,79.70%,36.40%,59.50%,15.30%,26.70%,2787,0.483,0.683,151,149,94,
2012,David Freese,STL,144,567,21.50%,31.60%,59.20%,64.80%,85.00%,44.60%,59.10%,11.50%,27.90%,2192,0.464,0.752,198,100,83,
2012,Ben Zobrist,TBR,157,668,15.40%,22.60%,73.40%,57.60%,89.50%,41.30%,52.70%,5.90%,26.40%,2724,0.37,0.838,198,160,100,
2010,Jay Bruce,CIN,148,573,23.70%,28.90%,53.70%,73.20%,86.00%,40.00%,54.60%,12.00%,26.10%,2150,0.466,0.74,135,163,75,
2014,Josh Harrison,PIT,143,550,14.70%,38.30%,71.70%,67.70%,86.80%,47.40%,61.30%,9.90%,25.90%,1968,0.522,0.81,163,169,105,
2018,Khris Davis,OAK,151,654,26.80%,27.80%,49.10%,78.40%,77.70%,42.60%,61.60%,15.60%,28.00%,2514,0.493,0.685,144,199,65,
2015,Shin-Soo Choo,TEX,149,653,22.50%,24.20%,63.70%,64.20%,81.60%,43.60%,57.90%,10.10%,28.10%,2606,0.417,0.757,209,117,85,
2010,Alex Rodriguez,NYY,137,595,16.50%,24.70%,65.60%,68.50%,86.10%,45.00%,54.60%,8.90%,25.00%,2342,0.444,0.798,200,175,60,
2013,Brandon Belt,SFG,150,571,21.90%,31.70%,64.60%,79.50%,88.80%,40.40%,58.30%,10.20%,21.30%,2271,0.51,0.798,133,160,94,
2019,Yuli Gurriel,HOU,144,612,10.60%,35.40%,78.00%,69.30%,92.10%,42.20%,64.90%,6.80%,23.50%,2085,0.497,0.863,193,199,113,
2010,Victor Martinez,BOS,127,538,9.70%,28.20%,87.30%,54.30%,95.00%,43.10%,53.70%,3.20%,24.30%,2091,0.395,0.919,183,187,76,
2013,Carlos Santana,CLE,154,642,17.10%,25.20%,71.70%,58.10%,89.30%,42.20%,56.10%,6.70%,25.80%,2760,0.391,0.827,183,154,94,
2011,Ian Kinsler,TEX,155,723,9.80%,19.40%,81.80%,59.60%,95.30%,45.10%,55.70%,3.20%,23.80%,2852,0.375,0.914,193,257,96,
2017,Corey Seager,LAD,145,613,21.40%,29.10%,54.30%,78.80%,86.30%,42.30%,60.50%,12.20%,23.50%,2240,0.501,0.756,173,136,102,
2013,Marlon Byrd,- - -,147,579,24.90%,39.60%,55.10%,73.50%,84.30%,44.80%,65.80%,14.90%,28.70%,2115,0.548,0.726,155,146,94,
2015,Kendrys Morales,KCR,158,639,16.10%,31.80%,62.40%,71.40%,88.30%,41.40%,54.60%,10.40%,23.80%,2442,0.482,0.783,211,163,96,
2017,Joey Gallo,TEX,145,532,36.80%,31.80%,42.60%,74.30%,71.50%,36.10%,57.50%,19.30%,30.90%,2242,0.471,0.591,70,136,45,
2015,Carlos Gonzalez,COL,153,608,21.90%,37.70%,55.70%,78.10%,83.10%,39.80%,57.40%,15.20%,24.80%,2235,0.538,0.715,200,155,70,
2012,Miguel Montero,ARI,141,573,22.70%,29.30%,65.60%,71.60%,81.20%,41.60%,60.00%,11.40%,25.10%,2289,0.469,0.755,154,129,75,
2010,Vladimir Guerrero,TEX,152,643,9.30%,44.90%,70.70%,80.80%,88.30%,39.00%,61.40%,11.50%,19.90%,2020,0.589,0.801,241,199,99,
2014,Justin Upton,ATL,154,641,26.70%,30.30%,61.60%,70.60%,79.10%,44.80%,60.40%,13.00%,27.50%,2575,0.484,0.73,160,162,81,
2010,Vernon Wells,TOR,157,646,13.00%,32.80%,65.20%,71.90%,89.80%,44.30%,60.40%,9.60%,22.40%,2095,0.501,0.808,214,213,81,
2018,Jose Altuve,HOU,137,599,13.20%,33.30%,73.50%,68.70%,91.00%,39.60%,67.80%,7.80%,24.10%,2123,0.473,0.836,207,135,108,
2013,Allen Craig,STL,134,563,17.80%,31.30%,70.10%,64.30%,90.10%,42.80%,59.50%,8.10%,26.50%,2134,0.454,0.822,186,116,111,
2018,Rhys Hoskins,PHI,153,660,22.70%,22.80%,64.20%,60.60%,87.40%,43.20%,52.40%,7.90%,27.40%,2918,0.391,0.798,120,213,79,
2015,Buster Posey,SFG,150,623,8.30%,30.00%,79.00%,71.80%,93.20%,42.80%,59.20%,5.60%,20.20%,2194,0.479,0.881,225,173,114,
2019,Tim Anderson,CHW,123,518,21.00%,45.20%,61.50%,77.50%,89.90%,41.10%,62.00%,13.50%,25.20%,1765,0.585,0.77,190,108,93,
2012,Paul Goldschmidt,ARI,145,587,22.10%,28.80%,68.20%,63.60%,82.40%,43.50%,61.80%,10.00%,28.60%,2348,0.439,0.771,158,141,94,
2013,Carlos Gomez,MIL,147,590,24.70%,36.30%,58.10%,78.40%,83.40%,43.70%,68.60%,14.20%,24.90%,2173,0.547,0.74,154,146,81,
2018,Nick Castellanos,DET,157,678,22.30%,38.60%,52.50%,78.80%,84.40%,41.00%,65.30%,15.90%,26.70%,2439,0.551,0.712,167,169,136,
2012,Nick Swisher,NYY,148,624,22.60%,23.80%,60.50%,66.50%,84.60%,40.60%,52.70%,9.70%,26.00%,2656,0.412,0.764,155,156,89,
2016,Kyle Seager,SEA,158,676,16.00%,26.90%,71.10%,62.10%,88.90%,44.50%,55.00%,7.30%,25.50%,2584,0.425,0.826,176,205,107,
2017,Logan Morrison,TBR,149,601,24.80%,27.60%,56.90%,70.30%,82.50%,43.00%,57.20%,12.10%,26.40%,2356,0.46,0.737,122,169,75,
2014,Jose Altuve,HOU,158,707,7.50%,36.60%,84.80%,67.70%,94.90%,46.20%,65.20%,4.50%,21.30%,2200,0.51,0.91,290,181,139,
2012,Ian Desmond,WSN,130,547,20.70%,36.80%,61.50%,72.80%,87.40%,47.80%,70.70%,11.80%,26.20%,1845,0.54,0.782,189,137,71,
